date,category,amount,counterparty
15/04/2022,STIPENDI,-6000.0,MARIO ROSSI
15/04/2022,RIMBORSO FINANZIAMENTO,-1200.0,BANCA SELLA
22/04/2022,INCASSO FATTURA,7266.67,ALPHA COMPANY
22/04/2022,PAGAMENTO FORNITORI,-5234.0,XY GROUP
27/04/2022,UTENZE,-809.96,ENEL
01/05/2022,INCASSO FATTURA,7466.67,BETA SRL
01/05/2022,PAGAMENTO FORNITORI,-5384.0,XY GROUP
10/05/2022,INCASSO FATTURA,7666.67,BETA SRL
10/05/2022,PAGAMENTO FORNITORI,-5534.0,XY GROUP
15/05/2022,STIPENDI,-6000.0,MARIO ROSSI
15/05/2022,RIMBORSO FINANZIAMENTO,-1200.0,BANCA SELLA
19/05/2022,INCASSO FATTURA,7866.67,BETA SRL
19/05/2022,PAGAMENTO FORNITORI,-5684.0,XY GROUP
26/05/2022,UTENZE,-808.45,ENEL
28/05/2022,INCASSO FATTURA,8066.67,BETA SRL
28/05/2022,PAGAMENTO FORNITORI,-5834.0,XY GROUP
30/05/2022,EROGAZIONE FINANZIAMENTO,10000.0,BANCA SELLA
06/06/2022,INCASSO FATTURA,8266.67,BETA SRL
06/06/2022,PAGAMENTO FORNITORI,-5984.0,XY GROUP
15/06/2022,STIPENDI,-8000.0,MARIO ROSSI
15/06/2022,INCASSO FATTURA,8466.67,BETA SRL
15/06/2022,PAGAMENTO FORNITORI,-6134.0,XY GROUP
15/06/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
24/06/2022,UTENZE,-808.56,ENEL
24/06/2022,INCASSO FATTURA,8666.67,BETA SRL
24/06/2022,PAGAMENTO FORNITORI,-6284.0,XY GROUP
03/07/2022,INCASSO FATTURA,8866.67,ALPHA COMPANY
03/07/2022,PAGAMENTO FORNITORI,-6434.0,XY GROUP
12/07/2022,INCASSO FATTURA,9066.67,ALPHA COMPANY
12/07/2022,PAGAMENTO FORNITORI,-6584.0,XY GROUP
15/07/2022,STIPENDI,-8000.0,MARIO ROSSI
15/07/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
21/07/2022,INCASSO FATTURA,9266.67,ALPHA COMPANY
21/07/2022,PAGAMENTO FORNITORI,-6734.0,XY GROUP
23/07/2022,UTENZE,-820.0,ENEL
30/07/2022,INCASSO FATTURA,9466.67,ALPHA COMPANY
30/07/2022,PAGAMENTO FORNITORI,-6884.0,XY GROUP
08/08/2022,INCASSO FATTURA,9666.67,GAMMA SRL
08/08/2022,PAGAMENTO FORNITORI,-7034.0,XY GROUP
15/08/2022,PAGAMENTO FATTURA,-8000.0,XY GROUP
15/08/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
17/08/2022,INCASSO FATTURA,9866.67,GAMMA SRL
17/08/2022,PAGAMENTO FORNITORI,-7184.0,ABC SRL
21/08/2022,UTENZE,-850.0,ENEL
26/08/2022,INCASSO FATTURA,10066.67,GAMMA SRL
26/08/2022,PAGAMENTO FORNITORI,-7334.0,ABC SRL
04/09/2022,INCASSO FATTURA,10266.67,GAMMA SRL
04/09/2022,PAGAMENTO FORNITORI,-7484.0,ABC SRL
13/09/2022,INCASSO FATTURA,10466.67,GAMMA SRL
13/09/2022,PAGAMENTO FORNITORI,-7634.0,ABC SRL
15/09/2022,PAGAMENTO FATTURA,-8000.0,XY GROUP
15/09/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
19/09/2022,UTENZE,-853.45,ENEL
22/09/2022,INCASSO FATTURA,10666.67,GAMMA SRL
22/09/2022,PAGAMENTO FORNITORI,-7784.0,ABC SRL
01/10/2022,INCASSO FATTURA,10866.67,GAMMA SRL
01/10/2022,PAGAMENTO FORNITORI,-7934.0,ABC SRL
10/10/2022,INCASSO FATTURA,11066.67,GAMMA SRL
10/10/2022,PAGAMENTO FORNITORI,-8084.0,ABC SRL
15/10/2022,PAGAMENTO FATTURA,-8000.0,XY GROUP
15/10/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
18/10/2022,UTENZE,-850.85,ENEL
19/10/2022,INCASSO FATTURA,11266.67,GAMMA SRL
19/10/2022,PAGAMENTO FORNITORI,-8234.0,ABC SRL
28/10/2022,INCASSO FATTURA,11466.67,GAMMA SRL
28/10/2022,PAGAMENTO FORNITORI,-8384.0,ABC SRL
06/11/2022,INCASSO FATTURA,11666.67,GAMMA SRL
06/11/2022,PAGAMENTO FORNITORI,-8534.0,ABC SRL
15/11/2022,PAGAMENTO FATTURA,-8000.0,XY GROUP
15/11/2022,INCASSO FATTURA,11866.67,GAMMA SRL
15/11/2022,PAGAMENTO FORNITORI,-8684.0,ABC SRL
15/11/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
16/11/2022,UTENZE,-858.4,ENEL
24/11/2022,INCASSO FATTURA,12066.67,GAMMA SRL
24/11/2022,PAGAMENTO FORNITORI,-8834.0,ABC SRL
03/12/2022,INCASSO FATTURA,12266.67,GAMMA SRL
03/12/2022,PAGAMENTO FORNITORI,-8984.0,ABC SRL
12/12/2022,INCASSO FATTURA,12466.67,GAMMA SRL
12/12/2022,PAGAMENTO FORNITORI,-9134.0,ABC SRL
15/12/2022,PAGAMENTO FATTURA,-8000.0,XY GROUP
15/12/2022,RIMBORSO FINANZIAMENTO,-1700.0,BANCA SELLA
21/12/2022,INCASSO FATTURA,12666.67,GAMMA SRL
21/12/2022,PAGAMENTO FORNITORI,-9284.0,ABC SRL
30/12/2022,INCASSO FATTURA,12866.67,GAMMA SRL
30/12/2022,PAGAMENTO FORNITORI,-9434.0,ABC SRL
